nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
beta.gouv.fr,betagouv,GitHub,https://github.com/betagouv/beta.gouv.fr,Le site public de l'Incubateur de Services Numériques de l'État français.,False,2015-12-18T13:33:48Z,2019-04-25T14:02:39Z,https://beta.gouv.fr,93,250,,12,HTML,
mas,betagouv,GitHub,https://github.com/betagouv/mas,DÉPRÉCIÉ,False,2016-01-25T14:03:29Z,2017-12-12T10:49:32Z,https://github.com/sgmap/api.gouv.fr,0,2,,0,HTML,
coding-dojos,betagouv,GitHub,https://github.com/betagouv/coding-dojos,Projets et sources des séances de coding-dojo au sein du SGMAP,False,2016-01-27T15:55:07Z,2017-12-12T10:50:09Z,,0,0,,0,JavaScript,
svair-mock,betagouv,GitHub,https://github.com/betagouv/svair-mock,,False,2016-02-01T09:12:47Z,2019-03-07T10:18:53Z,,0,7,Apache License 2.0,1,HTML,
discourse-oauth2-basic,betagouv,GitHub,https://github.com/betagouv/discourse-oauth2-basic,A basic OAuth2 plugin for use with Discourse,True,2016-02-12T18:03:55Z,2016-02-12T18:03:56Z,,0,0,,0,Ruby,
openfisca-paris,betagouv,GitHub,https://github.com/betagouv/openfisca-paris,Extension OpenFisca pour les prestations de la ville de Paris.,False,2016-02-16T17:18:57Z,2019-04-16T10:21:32Z,,5,5,,5,Python,
ludwig,betagouv,GitHub,https://github.com/betagouv/ludwig,Collaborative testing tool,False,2016-02-17T15:37:41Z,2019-04-04T13:14:29Z,,1,3,,13,JavaScript,
role-ansible,betagouv,GitHub,https://github.com/betagouv/role-ansible,,False,2016-02-23T14:23:24Z,2018-11-19T02:05:44Z,,1,0,,0,Shell,
api.gouv.fr,betagouv,GitHub,https://github.com/betagouv/api.gouv.fr,Liste les API disponibles au sein de l'administration française,False,2016-02-26T13:38:06Z,2019-04-10T08:43:53Z,https://api.gouv.fr,130,70,GNU Affero General Public License v3.0,7,HTML,"api,government,platform"
dashboard_apientreprise,betagouv,GitHub,https://github.com/betagouv/dashboard_apientreprise,Le tableau de bord d'apientreprise.fr,False,2016-03-01T10:39:32Z,2018-09-25T13:54:29Z,https://dashboard.apientreprise.fr,0,1,,0,Ruby,
