nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
addocker,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/addocker,Run Addok in Docker,True,2017-04-20T09:06:19Z,2018-03-15T16:26:14Z,,0,0,,0,Python,,False,
pointk,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/pointk,Retrouver les coordonnées à partir d’un point kilométrique,False,2017-06-02T13:41:03Z,2018-07-04T11:15:39Z,,0,1,MIT License,0,JavaScript,entrepreneur-interet-general,False,
matchID-search,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/matchID-search,,False,2017-08-22T09:30:18Z,2017-08-22T16:09:38Z,,1,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/matchID-search/directory/
api-ccomptes,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/api-ccomptes,,False,2017-09-13T10:15:59Z,2018-09-26T12:51:47Z,,3,0,GNU Affero General Public License v3.0,4,HTML,entrepreneur-interet-general,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/api-ccomptes/directory/
matchid-rnipp,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/matchid-rnipp,matchid dataprep and matching for BRPP/RNIPP (officila INSEE death people list),False,2017-09-20T20:41:11Z,2018-11-15T21:10:32Z,,1,1,GNU Lesser General Public License v3.0,0,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/matchid-rnipp/directory/
leaflet-geocoder-ban,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/leaflet-geocoder-ban,"Plugin to add gecoding to your Leaflet map, powered by the french BAN (Base Adresse Nationale) API.",False,2017-10-11T12:29:35Z,2019-02-12T02:13:36Z,,10,1,,0,JavaScript,entrepreneur-interet-general,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/leaflet-geocoder-ban/directory/
controle-en-cours,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/controle-en-cours,,False,2017-10-24T13:55:02Z,2018-03-15T16:26:21Z,,0,0,MIT License,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/controle-en-cours/directory/
cartav,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/cartav,Cartographie des accidents et de la verbalisation,False,2017-10-30T10:01:39Z,2019-06-03T18:28:18Z,,5,1,,0,CSS,entrepreneur-interet-general,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/cartav/directory/
matchID,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/matchID,New Repo : https://github.com/matchID-project/,False,2017-11-07T09:33:48Z,2018-07-04T11:28:49Z,,0,0,,0,,entrepreneur-interet-general,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/matchID/directory/
Merge-Machine,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/Merge-Machine,Merge Dirty Data with Clean Reference Tables,False,2017-11-16T15:22:37Z,2019-07-21T02:28:01Z,,23,1,Other,35,Python,"elasticsearch,entity-resolution,entrepreneur-interet-general,python,record-linkage",True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/Merge-Machine/directory/
agenda-eig2018,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/agenda-eig2018,L'agenda des EIG 2018 (en lecture seule),False,2017-12-22T13:56:17Z,2019-01-23T08:45:10Z,https://entrepreneur-interet-general.github.io/agenda-eig2018/,0,0,,0,,entrepreneur-interet-general,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/agenda-eig2018/directory/
eig-link,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/eig-link,Liste d'outils pour faciliter les interactions entre EIG,False,2018-01-16T16:02:27Z,2019-08-06T07:31:22Z,https://doc.eig-forever.org,14,23,Other,8,JavaScript,"eig-2018,eig-2019,eig-link,entrepreneur-interet-general",True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/eig-link/directory/
vue-python-starter-kit,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/vue-python-starter-kit,"full stack dev starter kit for developping with Vue.js & Python-FlaskRestPlus with docker, elasticsearch & mongodb",False,2018-01-27T14:29:00Z,2019-05-23T10:08:28Z,,2,2,GNU Lesser General Public License v3.0,0,JavaScript,,False,
tutos-2018,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/tutos-2018,Ensemble des tutoriels utilisés par les EIG,False,2018-02-08T09:16:35Z,2019-02-20T11:04:08Z,,4,2,,0,,"entrepreneur-interet-general,tutorials",True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/tutos-2018/directory/
sill,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/sill,Socle interministériel des logiciels libres,False,2018-02-12T17:12:21Z,2019-06-25T09:57:54Z,,4,3,,5,HTML,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/sill/directory/
dataESR,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/dataESR,,False,2018-02-14T14:52:39Z,2019-06-28T15:01:59Z,,6,0,,1,Jupyter Notebook,entrepreneur-interet-general,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/dataESR/directory/
predisauvetage,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/predisauvetage,Sauver des vies en mer en prévenant les accidents maritimes grâce aux données,False,2018-02-16T14:44:27Z,2019-07-13T17:35:18Z,https://entrepreneur-interet-general.etalab.gouv.fr/defi/2017/09/26/donneesauvetagemaritime/,3,0,MIT License,18,Jupyter Notebook,"eig-2018,entrepreneur-interet-general,predisauvetage",True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/predisauvetage/directory/
numerilab,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/numerilab,Public repository DNE-Numerilab,False,2018-02-19T13:48:07Z,2018-07-04T11:01:30Z,,1,0,,3,Jupyter Notebook,entrepreneur-interet-general,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/numerilab/directory/
OpenScraper,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/OpenScraper,An open source webapp for scraping: towards a public service for webscraping,False,2018-02-20T17:50:00Z,2019-08-02T05:07:28Z,http://www.cis-openscraper.com/,41,12,MIT License,44,Python,"bulma,entrepreneur-interet-general,html,mongodb,python,python2,scraper,scrapy,spider,tornado,xpath",True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/OpenScraper/directory/
open-agenda-eig2018,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/open-agenda-eig2018,Agenda des événements externes à EIG,False,2018-02-22T11:27:40Z,2019-01-23T08:45:19Z,,0,1,,0,,entrepreneur-interet-general,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/open-agenda-eig2018/directory/
open-moulinette,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/open-moulinette,Scripts to clean Open-Data.,True,2018-02-22T23:07:10Z,2019-04-17T13:23:03Z,,2,0,MIT License,0,Python,entrepreneur-interet-general,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/open-moulinette/directory/
mkinx,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/mkinx,Manage sphinx documentations with mkdocs,False,2018-02-23T10:54:50Z,2019-01-06T06:59:00Z,,3,0,GNU Affero General Public License v3.0,0,Python,"documentation-tool,entrepreneur-interet-general,mkdocs,open-source,python,sphinx-documentation",True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/mkinx/directory/
clj-rgf93-wgs84,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/clj-rgf93-wgs84,Clojure utility to convert RGF93 (Lambert 93) coordinates into WGS84 ones,False,2018-02-25T08:50:45Z,2019-06-30T06:28:53Z,,0,0,Eclipse Public License 1.0,0,HTML,entrepreneur-interet-general,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/clj-rgf93-wgs84/directory/
csv2html,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/csv2html,Quickly generate a HTML page from a CSV file with datatables,False,2018-02-28T09:15:54Z,2019-06-30T06:30:18Z,,1,1,Eclipse Public License 1.0,0,Clojure,entrepreneur-interet-general,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/csv2html/directory/
previsecours.github.io,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/previsecours.github.io,Jekyll home page of previsecours,True,2018-02-28T15:46:32Z,2018-02-28T15:46:34Z,,0,0,,0,CSS,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/entrepreneur-interet-general/previsecours.github.io/directory/
